Temperature (K);Pressure (MPa);Density (kg/m3);Volume (m3/kg);Internal Energy (kJ/kg);Enthalpy (kJ/kg);Entropy (J/g*K);Cv (J/g*K);Cp (J/g*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (Pa*s);Therm. Cond. (W/m*K);Phase
235.900000000;8.00000000000;1124.90615120;0.000888963047217;112.415160609;119.526864987;0.667265563837;0.956736682047;1.95272978553;885.012592939;-0.0990287386469;0.000197683465613;0.159911770539;liquid
235.950000000;8.00000000000;1124.71955956;0.000889110526706;112.511621549;119.624505763;0.667679427462;0.956674918739;1.95290129664;884.673030971;-0.0987930718558;0.000197529655007;0.159852978699;liquid
236.000000000;8.00000000000;1124.53291095;0.000889258100199;112.608090321;119.722155123;0.668093239775;0.956613199874;1.95307317637;884.333448524;-0.0985570654158;0.000197375977980;0.159794191398;liquid
236.050000000;8.00000000000;1124.34620527;0.000889405767825;112.704566944;119.819813086;0.668507000875;0.956551525477;1.95324542524;883.993845481;-0.0983207187550;0.000197222434376;0.159735408628;liquid
236.100000000;8.00000000000;1124.15944246;0.000889553529716;112.801051434;119.917479672;0.668920710863;0.956489895574;1.95341804379;883.654221726;-0.0980840313005;0.000197069024038;0.159676630381;liquid
236.150000000;8.00000000000;1123.97262242;0.000889701386002;112.897543809;120.015154897;0.669334369838;0.956428310189;1.95359103256;883.314577142;-0.0978470024776;0.000196915746810;0.159617856648;liquid
236.200000000;8.00000000000;1123.78574510;0.000889849336815;112.994044086;120.112838781;0.669747977901;0.956366769348;1.95376439206;882.974911612;-0.0976096317104;0.000196762602536;0.159559087421;liquid
236.250000000;8.00000000000;1123.59881041;0.000889997382284;113.090552284;120.210531342;0.670161535152;0.956305273076;1.95393812285;882.635225020;-0.0973719184217;0.000196609591060;0.159500322692;liquid
236.300000000;8.00000000000;1123.41181826;0.000890145522543;113.187068419;120.308232599;0.670575041690;0.956243821398;1.95411222546;882.295517249;-0.0971338620326;0.000196456712226;0.159441562451;liquid
236.350000000;8.00000000000;1123.22476860;0.000890293757722;113.283592509;120.405942571;0.670988497617;0.956182414339;1.95428670044;881.955788182;-0.0968954619632;0.000196303965879;0.159382806691;liquid
236.400000000;8.00000000000;1123.03766132;0.000890442087954;113.380124572;120.503661276;0.671401903031;0.956121051925;1.95446154831;881.616037701;-0.0966567176318;0.000196151351863;0.159324055402;liquid
236.450000000;8.00000000000;1122.85049637;0.000890590513371;113.476664625;120.601388732;0.671815258035;0.956059734181;1.95463676962;881.276265689;-0.0964176284555;0.000195998870023;0.159265308577;liquid
236.500000000;8.00000000000;1122.66327365;0.000890739034106;113.573212686;120.699124959;0.672228562726;0.955998461133;1.95481236492;880.936472029;-0.0961781938500;0.000195846520203;0.159206566207;liquid
236.550000000;8.00000000000;1122.47599310;0.000890887650291;113.669768773;120.796869975;0.672641817208;0.955937232806;1.95498833476;880.596656604;-0.0959384132295;0.000195694302249;0.159147828283;liquid
236.600000000;8.00000000000;1122.28865463;0.000891036362060;113.766332902;120.894623799;0.673055021578;0.955876049226;1.95516467967;880.256819295;-0.0956982860068;0.000195542216006;0.159089094797;liquid
236.650000000;8.00000000000;1122.10125816;0.000891185169547;113.862905093;120.992386449;0.673468175939;0.955814910419;1.95534140021;879.916959985;-0.0954578115933;0.000195390261319;0.159030365740;liquid
236.700000000;8.00000000000;1121.91380361;0.000891334072884;113.959485362;121.090157945;0.673881280391;0.955753816410;1.95551849693;879.577078556;-0.0952169893989;0.000195238438033;0.158971641104;liquid
236.750000000;8.00000000000;1121.72629092;0.000891483072206;114.056073727;121.187938305;0.674294335033;0.955692767225;1.95569597038;879.237174891;-0.0949758188321;0.000195086745995;0.158912920880;liquid
236.800000000;8.00000000000;1121.53871998;0.000891632167647;114.152670207;121.285727548;0.674707339968;0.955631762890;1.95587382111;878.897248870;-0.0947342993000;0.000194935185050;0.158854205060;liquid
236.850000000;8.00000000000;1121.35109074;0.000891781359342;114.249274819;121.383525693;0.675120295296;0.955570803431;1.95605204967;878.557300376;-0.0944924302081;0.000194783755043;0.158795493635;liquid
236.900000000;8.00000000000;1121.16340310;0.000891930647425;114.345887580;121.481332760;0.675533201116;0.955509888873;1.95623065662;878.217329291;-0.0942502109606;0.000194632455822;0.158736786596;liquid
236.950000000;8.00000000000;1120.97565700;0.000892080032032;114.442508509;121.579148765;0.675946057531;0.955449019243;1.95640964253;877.877335495;-0.0940076409603;0.000194481287232;0.158678083935;liquid
237.000000000;8.00000000000;1120.78785234;0.000892229513297;114.539137624;121.676973730;0.676358864641;0.955388194568;1.95658900794;877.537318870;-0.0937647196082;0.000194330249120;0.158619385644;liquid
237.050000000;8.00000000000;1120.59998905;0.000892379091357;114.635774942;121.774807673;0.676771622547;0.955327414872;1.95676875341;877.197279298;-0.0935214463042;0.000194179341332;0.158560691714;liquid
237.100000000;8.00000000000;1120.41206704;0.000892528766347;114.732420481;121.872650612;0.677184331350;0.955266680183;1.95694887952;876.857216660;-0.0932778204466;0.000194028563714;0.158502002136;liquid
237.150000000;8.00000000000;1120.22408625;0.000892678538404;114.829074260;121.970502567;0.677596991151;0.955205990527;1.95712938682;876.517130835;-0.0930338414322;0.000193877916115;0.158443316902;liquid
